"State","BCR","Stratum","Stratum Description","Who Collected","Planned","Completed","% Completed","Area (km2)"
"AZ","34","AZ-BCR34-CF","AZ-BCR34-CF: Coconino National Forest","BCR","34","26","76%","7426"
"AZ","34","AZ-CORONADO-RH","AZ-CORONADO-RH: Coronado National Forest - High Elevation","BCR","5","3","60%","1652"
"AZ","34","AZ-CORONADO-RL","AZ-CORONADO-RL: Coronado National Forest - Low Elevation","BCR","15","14","93%","5548"
"AZ","34","AZ-KAIBAB-KH","AZ-KAIBAB-KH: Kaibab National Forest - High Elevation","BCR","40","35","88%","4319"
"AZ","34","AZ-KAIBAB-KL","AZ-KAIBAB-KL: Kaibab National Forest - Low Elevation","BCR","40","27","68%","2182"
"CA","9","CA-BCR9-CC","CA-BCR9-CC: Bureau of Land Management - Carson City District","GBBO","3","3","100%","118"
"CA","9","CA-BCR9-CD","CA-BCR9-CD: Bureau of Land Management - California Desert District","GBBO","3","3","100%","1039"
"CA","9","CA-BCR9-CN","CA-BCR9-CN: Bureau of Land Management - Central California District","GBBO","4","4","100%","2668"
"CA","9","CA-BCR9-HT","CA-BCR9-HT: Humboldt-Toiyabe National Forest","GBBO","3","3","100%","1174"
"CA","9","CA-BCR9-NC","CA-BCR9-NC: Bureau of Land Management - Northern California District","GBBO","4","4","100%","5468"
"CA","15","CA-BCR15-HT","CA-BCR15-HT: Humboldt-Toiyabe National Forest","GBBO","3","3","100%","1635"
"CO","10","CO-BCR10-AO","CO-BCR10-AO: All Other Lands","BCR","5","5","100%","5060"
"CO","10","CO-BCR10-AO","CO-BCR10-AO: All Other Lands","BCR","5","5","100%","9251"
"CO","10","CO-BCR10-AO","CO-BCR10-AO: All Other Lands","BCR","5","5","100%","9348"
"CO","10","CO-BCR10-BL","CO-BCR10-BL: Bureau of Land Management","BCR","9","9","100%","4288"
"CO","16","CO-BCR16-AO","CO-BCR16-AO: All Other Lands","BCR","25","23","92%","51214"
"CO","16","CO-BCR16-AR","CO-BCR16-AR: Arapaho and Roosevelt National Forests","BCR","15","13","87%","6932"
"CO","16","CO-BCR16-AR","CO-BCR16-AR: Arapaho and Roosevelt National Forests","BCR","15","13","87%","9645"
"CO","16","CO-BCR16-BL","CO-BCR16-BL: Bureau of Land Management","BCR","24","23","96%","27825"
"CO","16","CO-BCR16-GM","CO-BCR16-GM: Grand Mesa; Uncompahgre and Gunnison National Forests","BCR","5","4","80%","13630"
"CO","16","CO-BCR16-MA","CO-BCR16-MA: Manti-La Sal National Forest","BCR","2","2","100%","131"
"CO","16","CO-BCR16-NC","CO-BCR16-NC: National Park Service - Northern Colorado Plateau Network","BCR","2","2","100%","692"
"CO","16","CO-BCR16-NC","CO-BCR16-NC: National Park Service - Northern Colorado Plateau Network","BCR","2","2","100%","807"
"CO","16","CO-BCR16-PS","CO-BCR16-PS: Pike and San Isabel National Forests","BCR","5","4","80%","10950"
"CO","16","CO-BCR16-PS","CO-BCR16-PS: Pike and San Isabel National Forests","BCR","5","4","80%","10968"
"CO","16","CO-BCR16-RA","CO-BCR16-RA: Rio Grande National Forest - High Elevation","BCR","4","3","75%","866"
"CO","16","CO-BCR16-RM","CO-BCR16-RM: National Park Service - Rocky Mountain Network","BCR","2","2","100%","1628"
"CO","16","CO-BCR16-RM","CO-BCR16-RM: National Park Service - Rocky Mountain Network","BCR","2","2","100%","1644"
"CO","16","CO-BCR16-RM","CO-BCR16-RM: National Park Service - Rocky Mountain Network","BCR","2","2","100%","1743"
"CO","16","CO-BCR16-RO","CO-BCR16-RO: Routt National Forest","BCR","6","5","83%","5123"
"CO","16","CO-BCR16-RO","CO-BCR16-RO: Routt National Forest","BCR","6","5","83%","5734"
