Species,Occupancy,Density,Observations,9,10,19,11,34,15,16,18,17,33
"Abert's Towhee","1","1","5","","","","","","","","","","RS"
"American Avocet","1","1","1","RC,RS","","","","","","RC","","",""
"American Bittern","1","1","0","RC","RC","","","","","RC","","",""
"American Coot","1","1","31","RC","","","RS","","","","","",""
"American Dipper","1","1","11","","RS","","","RC","RC","RC","","RC",""
"American Kestrel","1","1","181","RC","RC","","","RC","","RC","","",""
"American Wigeon","1","1","14","","","","","","","","","RC",""
"Ash-throated Flycatcher","1","1","1","","","","","","RC","","","",""
"American White Pelican","1","1","23","RC","","","RC,RS","","","","","",""
"Baird's Sparrow","1","1","252","","RC","","RC,RS","","","","","RC",""
"Bank Swallow","1","1","11","","","","RC","","","","","",""
"Baltimore Oriole","1","1","70","","","RC","","","","","","",""
"Black-billed Cuckoo","1","1","2","","","RC","RC","","","","","RC",""
"Black-billed Magpie","1","1","185","","","","","","","","","RC",""
"Black-chinned Hummingbird","1","1","9","","","","","RC","","","","",""
"Brown-capped Rosy-Finch","1","1","12","","","","","","","RC,RS","","",""
"Black-chinned Sparrow","1","1","61","RC","","","","RC","","","","",""
"Belted Kingfisher","0","1","0","RC","","","","","","","","",""
"Bell's Vireo","1","1","0","","","","","RC","","","","",""
"Bewick's Wren","1","1","199","","","RC","","RC","","","","",""
"Black Rosy-Finch","1","1","12","RC","RC,RS","","","","","RC","","",""
"Black Tern","1","1","114","RC","RC","","RC,RS","","","RC","RC","",""
"Bobolink","1","1","144","RC","RC","","RS","","","","","",""
"Brewer's Blackbird","1","1","130","RS","","","","","","","","",""
"Brown Creeper","1","1","43","","","","","","RC","","","",""
"Brewer's Sparrow","1","1","12447","RC,RS","RC","","","","RC","RC","","RC",""
"Brown Thrasher","1","1","58","","","RC","RC","","","","","",""
"Bridled Titmouse","1","1","39","","","","","RS","","","","",""
"Black-tailed Gnatcatcher","1","1","0","","","","","","","","","","RC,RS"
"Broad-tailed Hummingbird","1","1","626","","","","","","","RS","","",""
"Band-tailed Pigeon","1","1","32","","","","","RC","RC","RC","","",""
"Black-throated Gray Warbler","1","1","931","RC","","","","RC","RC","RC","","",""
"Bullock's Oriole","1","1","82","","","RC","","RC","RC","","","","RC"
"Burrowing Owl","1","1","18","","","RC","","","","","","RC",""
"Blue-winged Teal","1","1","65","","","","RS","","","","","",""
"Cactus Wren","1","1","50","","","","","","","","","","RC"
"Cassin's Finch","1","1","917","RS","RC,RS","","","","RC","RC","","",""
"California Gull","1","1","59","RS","","","","","RC","","","",""
"Calliope Hummingbird","1","1","10","RS","RS","","","","","","","",""
"California Quail","1","1","85","RS","","","","","","","","",""
"Cassin's Sparrow","1","1","3531","","","RC","","","","","RC,RS","",""
"Cassin's Vireo","1","1","230","","RS","","","","","","","",""
"Chestnut-collared Longspur","1","1","2127","","RC","","RC,RS","","","","RC","RC",""
"Clay-colored Sparrow","1","1","107","","","","RS","","","","","",""
"Chipping Sparrow","1","1","1543","","RC","","","","","","","",""
"Chimney Swift","1","1","16","","","RC","","","","","","",""
"Cinnamon Teal","1","1","9","RS","RC","RC","","","","","","",""
"Clark's Nutcracker","1","1","1080","","RS","","","RC","","RC,RS","","",""
"Cordilleran Flycatcher","1","1","72","","","","","RC","","","","",""
"Common Goldeneye","1","0","2","","RC","","","","","","","",""
"Costa's Hummingbird","1","1","10","","","","","","","","","","RC,RS"
"Common Nighthawk","1","1","525","RC","RC","","","RC","","RC","","",""
"Common Poorwill","1","1","19","RC","","","","RC","","","","",""
"Dickcissel","1","1","854","","","RS","","","","","","",""
"Dusky Flycatcher","1","1","545","","RS","","","","","","","",""
"Dusky Grouse","1","1","61","","RS","","","RC","","","","",""
"Eared Grebe","1","1","0","RS","","","","","","","","",""
"Eastern Kingbird","1","1","209","","","RC","RC","","","","","",""
"Eastern Meadowlark","1","1","194","","","RC","","","","","","",""
"Evening Grosbeak","1","1","132","RS","RC","","","","RC","RC","","",""
"Ferruginous Hawk","1","1","44","RC","RC","RC","RS","","","","RC","RC",""
"Forster's Tern","1","1","1","RC,RS","RC","","","","","RC","RC","",""
"Franklin's Gull","1","1","18","RC","RC","RC","RC,RS","","","","","RC",""
"Gambel's Quail","1","1","78","","","","","","","","","","RS"
"Golden-crowned Kinglet","1","1","313","","RC","","","","","","","",""
"Gilded Flicker","1","1","2","","","","","RC","","RC","","","RC"
"Gila Woodpecker","1","1","0","","","","","","","","","","RC,RS"
"Golden Eagle","1","1","16","","","","","","RC","RC","","RC",""
"Gray Flycatcher","1","1","380","RS","","","","","","","","",""
"Greater Prairie-Chicken","1","1","89","","","RC,RS","RC","","","","RC","RC",""
"Greater Sage-Grouse","1","1","42","RC","RC,RS","","RC","","RC","RC","","RC",""
"Grasshopper Sparrow","1","1","4637","","","RC","RC","","","","RC","RC",""
"Gray Vireo","1","1","470","","","","","","","RS","","","RC"
"Grace's Warbler","1","1","492","","","","","RC","","RC,RS","","",""
"Green-tailed Towhee","1","1","3407","RC,RS","","","","","","RS","","",""
"Hammond's Flycatcher","1","1","316","","RS","","","","","","","",""
"Hooded Oriole","1","1","22","","","","","RC","","","","","RC"
"Juniper Titmouse","1","1","356","","","","","","","RS","","",""
"Killdeer","1","1","174","RC","","","RC","","","","","",""
"Lark Bunting","1","1","8322","","RC","RC","RC","","","","RC,RS","RC,RS",""
"Lark Sparrow","1","1","332","","","RC","","","","","","",""
"Lazuli Bunting","1","1","987","RS","RS","","","","","RC","","",""
"Long-billed Curlew","1","1","454","RC","","RC","RC","","RC","RC","RC","RC",""
"Long-eared Owl","1","0","1","RC","","","","","","","","",""
"Lesser Prairie-Chicken","1","1","26","","","RC,RS","","","","","RC,RS","",""
"Lesser Scaup","1","1","15","","","","RS","","","","","",""
"Least Tern","1","1","1","","","RC","RC","","","","RC","RC",""
"Lewis's Woodpecker","1","1","85","RC,RS","RC,RS","","","RC","RC","RC","RC","RC",""
"Loggerhead Shrike","1","1","245","","","RC","","RC","","","RC","RC","RC"
"Lucy's Warbler","1","1","102","","","","","RS","","","","","RC"
"Marbled Godwit","1","1","364","","RC","","RC,RS","","","","","RC",""
"Marsh Wren","1","1","32","","","","RS","","","","","",""
"Mexican Jay","1","1","95","","","","","RS","","","","",""
"MacGillivray's Warbler","1","1","526","RC","RS","","","","","","","",""
"Mississippi Kite","1","1","18","","","RS","","","","","","",""
"Mountain Bluebird","1","1","1782","","RS","","","","","RC,RS","","",""
"Mountain Chickadee","1","1","3932","RC","RS","","","RC","","RC","","",""
"Mountain Plover","1","1","57","RC","RC","","RC","","","RC","RC,RS","RC",""
"Northern Bobwhite","1","1","284","","","RC","","","","","","",""
"Northern Goshawk","1","1","5","","RC","","","","","","","RC",""
"Northern Harrier","1","1","126","RC","","RC","RC,RS","","","RC","RC","RC",""
"Northern Pintail","1","1","61","","RC","","RC","","","RC","RC","RC",""
"Northern Rough-winged Swallow","1","1","7","RC","","","","","","","","",""
"Olive-sided Flycatcher","1","1","372","RC","RC","","","","RC","RC","","",""
"Phainopepla","1","1","62","","","","","RC","","","","",""
"Pinyon Jay","1","1","1340","RC,RS","RC","","","RC","RC","RC,RS","RC","RC","RC"
"Pine Siskin","1","1","1417","RC","RS","","","","","","","",""
"Plumbeous Vireo","1","1","652","","RC","","","RC","","RS","","",""
"Prairie Falcon","1","1","21","","","","","RC","","RC","RC","RC",""
"Pygmy Nuthatch","1","1","997","","","","","RS","RC","RS","","",""
"Pyrrhuloxia","1","1","0","","","","","","","","","","RC"
"Red-breasted Nuthatch","1","1","1143","","RS","","","","","","","",""
"Red Crossbill","1","1","643","","RC","","","","","","","",""
"Redhead","1","1","19","RC","","","RS","","","","","",""
"Red-faced Warbler","1","1","43","","","","","RS","","","","",""
"Red-headed Woodpecker","1","1","299","","","RC","RC","","","","RC","RC",""
"Red-naped Sapsucker","1","1","218","RC","RS","","","","","RC","","",""
"Rock Wren","1","1","1046","RS","","","","","","","RC","",""
"Ruddy Duck","1","0","7","","","","RS","","","","","",""
"Rufous Hummingbird","1","1","22","","RC","","","","","","","",""
