Species,Occupancy,Density,Observations,White River NF,Routt NF,Oglala NG,San Juan NF,Arapaho/Roosevelt NF,Rio Grande NF,Medicine Bow NF,Nebraska/Samuel R. McKelvie NF,Thunder Basin NG,Fort Pierre NG,Shoshone NF,Region-wide USFS R2,Comanche/Cimarron NG,Buffalo Gap NG,Pawnee NG,Grand Mesa/Uncompahgre/Gunnison NF,Bighorn NF,Black Hills NF
"American Dipper","1","1","1","","","","","","","","","","","","","","","","","","Species of Local Concern"
"American Pipit","1","1","111","Management Indicator Species","","","","","","","","","","","","","","","","",""
"American Three-toed Woodpecker","1","1","33","","","","","","","Management Indicator Species","","","","","","","","","","",""
"Bald Eagle","1","1","1","","","","","","","","","","","Management Indicator Species","","","","","Management Indicator Species","",""
"Barrow's Goldeneye","0","0","0","Species of Viability Concern","","","","","","","","","","","","","","","","",""
"Black-and-white Warbler","1","1","0","","","","","","","","","","","","","","","","","","Species of Local Concern"
"Black-backed Woodpecker","1","1","1","","","","","","","","","","","","Sensitive Species","","","","","","Management Indicator Species"
"Brown-capped Rosy-Finch","1","1","6","","","","","","","Species of Special Concern","","","","","","","","","","",""
"Black Swift","0","0","0","Species Needing More Inventory","","","","","","","","","","","Sensitive Species","","","","","",""
"Black Tern","1","1","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Boreal Owl","0","0","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Brown Creeper","1","1","45","","","","","","Management Indicator Species","Species of Special Concern","","","","","","","","","","","Management Indicator Species"
"Brewer's Sparrow","1","1","136","Management Indicator Species","","","","","","","","","","Management Indicator Species","Sensitive Species","","","","Management Indicator Species","Management Indicator Species",""
"Bullock's Oriole","1","1","32","","","","","","","","","","","","","Management Indicator Species","","","","",""
"Burrowing Owl","1","1","1","","","","","Management Indicator Species","","","","","","","Sensitive Species","","","Management Indicator Species","","",""
"Broad-winged Hawk","1","0","0","","","","","","","","","","","","","","","","","","Species of Local Concern"
"Calliope Hummingbird","1","1","0","","","","","","","","","","","","","","","","","Species of Local Concern",""
"Cassin's Sparrow","1","1","146","","","","","","","","","","","","Sensitive Species","","","","","",""
"Chestnut-collared Longspur","1","1","22","","","","","","","","","","","","Sensitive Species","","","","","",""
"Cooper's Hawk","1","1","3","","","","","","","","","","","","","","","","","","Species of Local Concern"
"Common Loon","0","0","0","","","","","","","","","","","","","","","","","Species of Local Concern",""
"Dusky Grouse","1","1","17","","","","","","","","","","","Management Indicator Species","","","","","","",""
"Ferruginous Hawk","1","1","1","","","","","Management Indicator Species","","","","","","","Sensitive Species","","","Management Indicator Species","","",""
"Flammulated Owl","0","0","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Golden-crowned Kinglet","1","1","28","","Management Indicator Species","","","Management Indicator Species","","Management Indicator Species","","","","","","","","Management Indicator Species","","Species of Local Concern","Management Indicator Species"
"Great Gray Owl","0","0","1","","","","","","","","","","","","","","","","","Species of Local Concern",""
"Greater Prairie-Chicken","1","1","1","","","","","","","","Management Indicator Species","","Management Indicator Species","","Sensitive Species","","","","","",""
"Greater Sage-Grouse","1","1","0","","","Management Indicator Species","","","","","","Management Indicator Species","Management Indicator Species","","Sensitive Species","","Management Indicator Species","","","",""
"Grasshopper Sparrow","1","1","370","","","","","","","","","","","","Sensitive Species","","","","","","Management Indicator Species"
"Grace's Warbler","1","1","1","","","","","","","","","","","","Sensitive Species","","","","","",""
"Green-tailed Towhee","1","1","381","","","","Management Indicator Species","","","","","","","","","","","","","",""
"Gunnison Sage-Grouse","0","0","0","","","","","","","","","","","","","","","","Management Indicator Species","",""
"Hairy Woodpecker","1","1","117","","","","Management Indicator Species","Management Indicator Species","","","","","","Management Indicator Species","","","","Management Indicator Species","Management Indicator Species","",""
"Hermit Thrush","1","1","713","","","","","","Management Indicator Species","","","","","","","","","","","",""
"Juniper Titmouse","1","1","3","","","","","","","","","","","","","","","","Management Indicator Species","",""
"Lark Bunting","1","1","427","","","","","Management Indicator Species","","","","","","","Sensitive Species","","","Management Indicator Species","","",""
"Long-billed Curlew","1","1","10","","","","","","","","","","","","Sensitive Species","Management Indicator Species","","","","",""
"Lesser Prairie-Chicken","1","1","0","","","","","","","","","","","","","Management Indicator Species","","","","",""
"Least Tern","1","1","0","","","","","","","","","","","","Federally Endangered","","","","","",""
"Lewis's Woodpecker","1","1","2","","","","","","","","","","","","Sensitive Species","","","","Management Indicator Species","",""
"Lincoln's Sparrow","1","1","233","","","","","","Management Indicator Species","Management Indicator Species","","","","","","","","","","",""
"Loggerhead Shrike","1","1","7","","","","","","","","","","","","Sensitive Species","","","","","",""
"Mallard","1","1","18","","","","Management Indicator Species","","","","","","","","","","","","","",""
"Mountain Bluebird","1","1","110","","","","Management Indicator Species","Management Indicator Species","","","","","","","","","","Management Indicator Species","","",""
"Mountain Plover","1","1","0","","","","","Management Indicator Species","","","","","","","Sensitive Species","","","Management Indicator Species","","",""
"Northern Goshawk","1","1","0","","Management Indicator Species","","Management Indicator Species","","","Management Indicator Species","","","","Management Indicator Species","Sensitive Species","","","","Management Indicator Species","",""
"Northern Harrier","1","1","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Northern Saw-whet Owl","0","0","1","","","","","","","","","","","","","","","","","","Species of Local Concern"
"Olive-sided Flycatcher","1","1","65","","","","","","","","","","","","Sensitive Species","","","","","",""
"Peregrine Falcon","1","1","4","Species of Concern","","","","","","","","","","Management Indicator Species","","","","","Management Indicator Species","",""
"Pinyon Jay","1","1","14","","","","","","","","","","","","Sensitive Species","","","","Management Indicator Species","",""
"Piping Plover","0","0","0","","","","","","","","","","","","Federally Endangered","","","","","",""
"Purple Martin","1","1","6","","","","","","","","","","","","Sensitive Species","","","","","",""
"Pygmy Nuthatch","1","1","44","Species of Viability Concern","","","","Management Indicator Species","Management Indicator Species","","Management Indicator Species","","","","","","","Management Indicator Species","","Species of Local Concern","Species of Local Concern"
"Red-breasted Nuthatch","1","1","371","","","","","","","","","","","","","","","","","Management Indicator Species",""
"Red Crossbill","1","1","429","","","","","","","","","","","","","","","","Management Indicator Species","",""
"Ruffed Grouse","1","1","1","","","","","","","","","","","Management Indicator Species","","","","","","","Management Indicator Species"
"Sagebrush Sparrow","1","1","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Short-eared Owl","1","1","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Song Sparrow","1","1","21","","","","","","","","","","","","","","","","","","Management Indicator Species"
"Spotted Owl","0","0","0","","","","Management Indicator Species","","","","","","","","Federally Threatened","","","","","",""
"Sharp-shinned Hawk","1","1","2","","","","","","","","","","","","","","","","","","Species of Local Concern"
"Sharp-tailed Grouse","1","1","2","","","Management Indicator Species","Management Indicator Species","","","","Management Indicator Species","Management Indicator Species","Management Indicator Species","","Sensitive Species","","Management Indicator Species","","","",""
"Swainson's Hawk","1","1","5","","","","","","","","","","","","","","","","","Species of Local Concern",""
"Thick-billed Longspur","1","1","17","","","","","","","","","","","","Sensitive Species","","","","","",""
"Trumpeter Swan","1","0","0","","","","","","","","","","","","Sensitive Species","","","","","",""
"Vesper Sparrow","1","1","123","","Management Indicator Species","","","","Management Indicator Species","","","","","","","","","","","",""
"Virginia's Warbler","1","1","12","Management Indicator Species","","","","","","","","","","","Sensitive Species","","","","","",""
"Warbling Vireo","1","1","545","","","","","Management Indicator Species","","","","","","","","","","Management Indicator Species","","",""
"Whooping Crane","0","0","0","","","","","","","","","","","","Federally Endangered","","","","","",""
"Willow Flycatcher","1","1","1","","","","Management Indicator Species","","","","","","","","","","","","","",""
"Wild Turkey","1","1","3","","","","Management Indicator Species","","","","","","","","","","","","","",""
"Wilson's Warbler","1","1","9","","Management Indicator Species","","","Management Indicator Species","Management Indicator Species","Management Indicator Species","","","","","","","","Management Indicator Species","","",""
"White-tailed Ptarmigan","1","1","4","","","","","","","","","","","","Sensitive Species","","","","","",""
"Yellow-billed Cuckoo","1","1","0","","","","","","","","","","","","Federally Threatened","","","","","",""
