Species,Occupancy,Density,Observations,Region-wide USFS R3,Tonto NF,Carson NF,Kiowa/Rita Blanca NG,Prescott NF,Kaibab NF,Coconino NF,Coronado NF
"Squirrel, Abert's","1","1","25","","","Management Indicator Species","","","","",""
"Abert's Towhee","1","1","3","Sensitive Species","","","","Species of Concern","","",""
"Acorn Woodpecker","1","1","143","","","","","","","","Management Indicator Species"
"American Kestrel","1","1","12","","","","","","","","Management Indicator Species"
"Ash-throated Flycatcher","1","1","681","","Management Indicator Species","","","","","","Management Indicator Species"
"Bald Eagle","1","1","0","Sensitive Species","Management Indicator Species","","","Species of Concern","","",""
"Baird's Sparrow","1","1","0","Sensitive Species","","","","","","","Management Indicator Species"
"Buff-breasted Flycatcher","0","0","0","Sensitive Species","","","","","","","Management Indicator Species"
"Brown-crested Flycatcher","1","1","24","","","","","","","","Management Indicator Species"
"Buff-collared Nightjar","0","0","0","Sensitive Species","","","","","","",""
"Black-chinned Sparrow","1","1","44","","Management Indicator Species","","","","","",""
"Bendire's Thrasher","0","0","0","","","","","Species of Concern","","",""
"Bell's Vireo","1","1","0","Sensitive Species","Management Indicator Species","","","Species of Concern","","","Management Indicator Species"
"Bewick's Wren","1","1","188","","","","","","","","Management Indicator Species"
"Brown-headed Cowbird","1","1","147","","","","","Species of Concern","","",""
"Blue-throated Hummingbird","0","0","0","","","","","","","","Management Indicator Species"
"Boreal Owl","0","0","0","Sensitive Species","","","","","","",""
"Brown Creeper","1","1","53","","","","","","","","Management Indicator Species"
"Brewer's Sparrow","1","1","3","","","Management Indicator Species","","","","",""
"Bridled Titmouse","1","1","39","","","","","","","","Management Indicator Species"
"Black-throated Sparrow","1","1","157","","Management Indicator Species","","","","","",""
"Burrowing Owl","1","1","0","Sensitive Species","","","Proposed Management Indicator Species","Species of Concern","","",""
"Canyon Towhee","1","1","36","","Management Indicator Species","","","","","",""
"Common Black-Hawk","0","0","0","Sensitive Species","Management Indicator Species","","","Species of Concern","","",""
"Cinnamon Teal","1","1","0","","","","","","","Management Indicator Species",""
"Cordilleran Flycatcher","1","1","79","","","","","Species of Concern","","","Management Indicator Species"
"Common Ground-Dove","1","1","4","Sensitive Species","","","","","","",""
"Costa's Hummingbird","1","1","7","Sensitive Species","","","","","","",""
"Crissal Thrasher","1","1","1","","","","","Species of Concern","","",""
"Dusky-capped Flycatcher","1","1","40","","","","","","","","Management Indicator Species"
"Eastern Bluebird","1","1","5","","","","","","","","Management Indicator Species"
"Elf Owl","0","0","0","","","","","Species of Concern","","","Management Indicator Species"
"Elegant Trogon","0","0","6","Sensitive Species","","","","","","","Management Indicator Species"
"European Starling","1","1","0","","","","","Species of Concern","","","Management Indicator Species"
"Ferruginous Hawk","1","1","0","","","","","Species of Concern","","",""
"Ferruginous Pygmy-Owl","0","0","0","Sensitive Species","","","","","","",""
"Flammulated Owl","0","0","1","","","","","Species of Concern","","","Management Indicator Species"
"Five-striped Sparrow","0","0","0","","","","","","","","Management Indicator Species"
"Gilded Flicker","1","1","2","","","","","Species of Concern","","",""
"Gila Woodpecker","1","1","5","Sensitive Species","","","","Species of Concern","","","Management Indicator Species"
"Gray Catbird","1","1","0","Sensitive Species","","","","","","",""
"Gray Hawk","1","1","8","","","","","","","","Management Indicator Species"
