Species,Occupancy,Density,Observations,Sawtooth NF,Boise NF,Uinta-Wasatch-Cache NF,Ashley NF,Humboldt-Toiyabe NF,Caribou-Targhee NF,Region-wide USFS R4,Salmon-Challis NF,Bridger-Teton NF,Payette NF,Manti-La Sal NF
"American Dipper","1","1","2","","Focal Species","","","","","","","","",""
"American Three-toed Woodpecker","1","1","16","","Sensitive Species","","Sensitive Species","Sensitive Species","","Sensitive Species","","Sensitive Species","",""
"Bald Eagle","1","1","0","","Sensitive Species","","Sensitive Species","Sensitive Species","Management Indicator Species","Sensitive Species","","Sensitive Species","",""
"Black-backed Woodpecker","1","1","12","","Management Indicator Species","","","","","","","","",""
"Black Rosy-Finch","1","1","0","","","","","","","","","Proposed Species of Conservation Concern","",""
"Boreal Owl","0","0","0","","Sensitive Species","","","","","Sensitive Species","","Sensitive Species","",""
"Brown Creeper","1","1","51","","","","","","","","Management Indicator Species","","",""
"Brewer's Sparrow","1","1","843","Species of Interest","","","","","","","","","Management Indicator Species",""
"Clark's Grebe","0","0","0","","Focal Species","","","","","","","","",""
"Cooper's Hawk","1","1","6","","","","","","","","","","","Sensitive Species"
"Common Loon","0","0","0","","Sensitive Species","","","","","Sensitive Species","","Sensitive Species","",""
"Dusky Grouse","1","1","38","","","","","","","","","","","Management Indicator Species"
"Flammulated Owl","0","0","0","","Sensitive Species","","Sensitive Species","Sensitive Species","","Sensitive Species","","Sensitive Species","",""
"Great Gray Owl","0","0","0","","Sensitive Species","","","","","Sensitive Species","Management Indicator Species","Sensitive Species","",""
"Golden Eagle","1","1","10","","","","Management Indicator Species","Bald/Golden Eagle Protection Act","","","","","","Management Indicator Species,Sensitive Species"
"Greater Sage-Grouse","1","1","8","Management Indicator Species","Sensitive Species","","Management Indicator Species,Sensitive Species","Sensitive Species","","Sensitive Species","Proposed Management Indicator Species","Proposed Species of Conservation Concern,Sensitive Species","Management Indicator Species",""
"Lazuli Bunting","1","1","538","","Focal Species","","","","","","","","",""
"Lewis's Woodpecker","1","1","10","","Focal Species","","","","","","","","Management Indicator Species","Sensitive Species"
"Lincoln's Sparrow","1","1","272","","","","Management Indicator Species","","","","","","",""
"Loggerhead Shrike","1","1","5","","Focal Species","","","","","","","","",""
"Mountain Bluebird","1","1","167","","","","","","","","Management Indicator Species","","",""
"Mountain Chickadee","1","1","968","","","","","","","","","","Management Indicator Species",""
"Mountain Quail","1","1","1","","Sensitive Species","","","Sensitive Species","","Sensitive Species","","","",""
"Northern Goshawk","1","1","1","Management Indicator Species","Sensitive Species","Focal Species","Management Indicator Species,Sensitive Species","Sensitive Species","Management Indicator Species","Sensitive Species","Management Indicator Species","Sensitive Species","",""
"Olive-sided Flycatcher","1","1","105","Species of Interest","","","","","","","","","",""
"Peregrine Falcon","1","1","1","","Sensitive Species","","Sensitive Species","Conservation Agreement Species,Sensitive Species","Management Indicator Species","Sensitive Species","","Sensitive Species","",""
"Phainopepla","1","1","0","","","","","Management Indicator Species","","","","","",""
"Pinyon Jay","1","1","51","","","","","Nevada species of concern","","","","","",""
"Pileated Woodpecker","1","1","9","","Management Indicator Species","","","","","","Management Indicator Species","","Management Indicator Species",""
"Pygmy Nuthatch","1","1","19","","","","","","","","Management Indicator Species","","",""
"Ruby-crowned Kinglet","1","1","617","","","","","","","","Management Indicator Species","","",""
"Red-naped Sapsucker","1","1","80","","","","Management Indicator Species","","","","","","",""
"Song Sparrow","1","1","63","","","","Management Indicator Species","","","","","","",""
"Spotted Owl","0","0","0","","","","","","","Sensitive (California),Threatened (Mexican)","","","",""
"Sharp-tailed Grouse","1","1","0","Species of Interest","Sensitive Species","","","Sensitive Species","","Sensitive Species","","","Management Indicator Species",""
"Trumpeter Swan","1","0","1","","","","","","Management Indicator Species","Sensitive Species","","Sensitive Species","",""
"Vesper Sparrow","1","1","385","","","","","","","","Management Indicator Species","","Management Indicator Species",""
"Warbling Vireo","1","1","870","","","","Management Indicator Species","","","","","","",""
"Western Meadowlark","1","1","455","","Focal Species","","","","","","","","",""
"Whooping Crane","0","0","0","","","","","","","Federally Endangered","","","",""
"White-headed Woodpecker","1","1","6","","Management Indicator Species","","","Sensitive Species","","Sensitive Species","","","Proposed Management Indicator Species",""
"Willow Flycatcher","1","1","10","","","","","","","Federally Endangered","","","",""
"Williamson's Sapsucker","1","1","18","","","","","","","","","","Management Indicator Species",""
"Yellow-billed Cuckoo","1","1","0","","Federally Threatened","","","","","Federally Threatened","","Federally Threatened","","Federally Threatened"
"Yellow-bellied Sapsucker","0","0","0","","","","","","","","Management Indicator Species","","",""
"Yellow Warbler","1","1","171","","","","","","","","Management Indicator Species","","Management Indicator Species",""
