Species,Occupancy,Density,Observations,North Dakota  ,Colorado,Texas,Utah,Kansas,Wyoming  ,Nebraska,Arizona,Idaho,Oklahoma,South Dakota  ,Montana,New Mexico
"Ferruginous Hawk","1","1","56","Level I","Tier 2,Special Concern","S2B,S4N","S3B","Tier II","Tier II","Tier I","Tier 1B","Tier II","Tier III","3","S3B",""
"Great Gray Owl","0","0","1","","","","","","Tier II","","","Tier III","","","S3",""
"Black Tern","1","1","109","Level I","Tier 2","S3","","Tier II","Tier II","Tier I","","Tier II","","2a","S3B",""
"Common Ground-Dove","1","1","0","","","","","","","","","","","","","Species of Greatest Conservation Need,State Endangered"
"Dickcissel","1","1","1854","Level II","","S4B","","Tier II","Tier II","","","","","","",""
"Least Tern","1","1","7","Level II","State Endangered,Tier 2","S3B","","Tier I,State Endangered","","Tier I","Tier 1A","","Tier II","1,State Endangered","S1B","State Endangered,Species of Greatest Conservation Need"
"Peregrine Falcon","1","1","20","Level III","Special Concern,Tier 2","S3","S3B","Tier II","Tier II","Tier II","Tier 1A","","Tier III","1,State Endangered","S3","State Threatened,Species of Greatest Conservation Need"
"Common Loon","0","0","0","","","","","","Tier I","","","Tier II","","","S3B",""
"Gunnison Sage-Grouse","0","0","2","","Special Concern,Tier 1","","S2","","","","","","","","",""
"Long-billed Curlew","1","1","441","Level I","Special Concern,Tier 2","S3B,S5N","","Tier II","Tier II","Tier I","","Tier II","Tier II","2a","S3B","Species of Greatest Conservation Need"
"Common Black-Hawk","0","0","0","","","S2B","","","","","Tier 1C","","","","","Species of Greatest Conservation Need,State Threatened"
"Pygmy Nuthatch","1","1","22","","","","","","Tier II","Tier II","","","","","","Species of Greatest Conservation Need"
"Northern Pygmy-Owl","1","1","20","","","","S4B,S3","","Tier II","","Tier 1B,Tier 1C","","","","",""
"Canvasback","0","0","1","Level II","","","","Tier II","","Tier II","","","Tier III","","",""
"Stilt Sandpiper","0","0","0","","","S3","","Tier II","","","","","","","",""
"Baird's Sandpiper","0","0","0","","","","","Tier II","","","","","","","",""
"Red-eyed Vireo","1","1","4","","","","","","Tier II","","","","","","",""
