State,bcr,Stratum,Year,Partner,Area,LongStratum,Planned,Completed
AZ,34,AZ-BCR34-CF,2022,BCR,7426,AZ-BCR34-CF: Coconino National Forest,34,26
AZ,34,AZ-CORONADO-RH,2022,BCR,1652,AZ-CORONADO-RH: Coronado National Forest - High Elevation,5,3
AZ,34,AZ-CORONADO-RL,2022,BCR,5548,AZ-CORONADO-RL: Coronado National Forest - Low Elevation,15,14
AZ,34,AZ-KAIBAB-KH,2022,BCR,4319,AZ-KAIBAB-KH: Kaibab National Forest - High Elevation,40,35
AZ,34,AZ-KAIBAB-KL,2022,BCR,2182,AZ-KAIBAB-KL: Kaibab National Forest - Low Elevation,40,27
CA,9,CA-BCR9-CC,2022,GBBO,118,CA-BCR9-CC: Bureau of Land Management - Carson City District,3,3
CA,9,CA-BCR9-CD,2022,GBBO,1039,CA-BCR9-CD: Bureau of Land Management - California Desert District,3,3
CA,9,CA-BCR9-CN,2022,GBBO,2668,CA-BCR9-CN: Bureau of Land Management - Central California District,4,4
CA,9,CA-BCR9-HT,2022,GBBO,1174,CA-BCR9-HT: Humboldt-Toiyabe National Forest,3,3
CA,9,CA-BCR9-NC,2022,GBBO,5468,CA-BCR9-NC: Bureau of Land Management - Northern California District,4,4
CA,15,CA-BCR15-HT,2022,GBBO,1635,CA-BCR15-HT: Humboldt-Toiyabe National Forest,3,3
CO,10,CO-BCR10-AO,2022,BCR,5060,CO-BCR10-AO: All Other Lands,5,5
CO,10,CO-BCR10-AO,2022,BCR,9251,CO-BCR10-AO: All Other Lands,5,5
CO,10,CO-BCR10-AO,2022,BCR,9348,CO-BCR10-AO: All Other Lands,5,5
CO,10,CO-BCR10-BL,2022,BCR,4288,CO-BCR10-BL: Bureau of Land Management,9,9
CO,16,CO-BCR16-AO,2022,BCR,51214,CO-BCR16-AO: All Other Lands,25,23
CO,16,CO-BCR16-AR,2022,BCR,6932,CO-BCR16-AR: Arapaho and Roosevelt National Forests,15,13
CO,16,CO-BCR16-AR,2022,BCR,9645,CO-BCR16-AR: Arapaho and Roosevelt National Forests,15,13
CO,16,CO-BCR16-BL,2022,BCR,27825,CO-BCR16-BL: Bureau of Land Management,24,23
CO,16,CO-BCR16-GM,2022,BCR,13630,CO-BCR16-GM: Grand Mesa; Uncompahgre and Gunnison National Forests,5,4
CO,16,CO-BCR16-MA,2022,BCR,131,CO-BCR16-MA: Manti-La Sal National Forest,2,2
CO,16,CO-BCR16-NC,2022,BCR,692,CO-BCR16-NC: National Park Service - Northern Colorado Plateau Network,2,2
CO,16,CO-BCR16-NC,2022,BCR,807,CO-BCR16-NC: National Park Service - Northern Colorado Plateau Network,2,2
CO,16,CO-BCR16-PS,2022,BCR,10950,CO-BCR16-PS: Pike and San Isabel National Forests,5,4
CO,16,CO-BCR16-PS,2022,BCR,10968,CO-BCR16-PS: Pike and San Isabel National Forests,5,4
CO,16,CO-BCR16-RA,2022,BCR,866,CO-BCR16-RA: Rio Grande National Forest - High Elevation,4,3
CO,16,CO-BCR16-RM,2022,BCR,1628,CO-BCR16-RM: National Park Service - Rocky Mountain Network,2,2
CO,16,CO-BCR16-RM,2022,BCR,1644,CO-BCR16-RM: National Park Service - Rocky Mountain Network,2,2
CO,16,CO-BCR16-RM,2022,BCR,1743,CO-BCR16-RM: National Park Service - Rocky Mountain Network,2,2
CO,16,CO-BCR16-RO,2022,BCR,5123,CO-BCR16-RO: Routt National Forest,6,5
CO,16,CO-BCR16-RO,2022,BCR,5734,CO-BCR16-RO: Routt National Forest,6,5
CO,16,CO-BCR16-RP,2022,BCR,5410,CO-BCR16-RP: Rio Grande National Forest - Middle Elevation,4,4
CO,16,CO-BCR16-RS,2022,BCR,1896,CO-BCR16-RS: Rio Grande National Forest - Low Elevation,4,4
CO,16,CO-BCR16-SA,2022,BCR,8794,CO-BCR16-SA: San Juan National Forest,5,4
CO,16,CO-BCR16-SC,2022,BCR,214,CO-BCR16-SC: National Park Service - Southern Colorado Plateau Network,2,2
CO,16,CO-BCR16-WA,2022,BCR,2138,CO-BCR16-WA: White River National Forest - High Elevation,4,3
CO,16,CO-BCR16-WF,2022,BCR,551,CO-BCR16-WF: USFS - Williams Fork Management Unit,2,2
CO,16,CO-BCR16-WP,2022,BCR,5443,CO-BCR16-WP: White River National Forest - Middle Elevation,5,5
CO,16,CO-BCR16-WS,2022,BCR,2786,CO-BCR16-WS: White River National Forest - Low Elevation,4,3
CO,18,CO-BCR18-AR,2022,BCR,1127,CO-BCR18-AR: Arkansas River and Tributaries,6,6
CO,18,CO-BCR18-CO,2022,BCR,4836,CO-BCR18-CO: Comanche National Grassland,5,5
CO,18,CO-BCR18-DO,2022,BCR,1647,CO-BCR18-DO: Department of Defense,2,2
CO,18,CO-BCR18-IA,2022,BCR,34755,CO-BCR18-IA: Area between I-70 and the Arkansas River,16,13
CO,18,CO-BCR18-NP,2022,BCR,11457,CO-BCR18-NP: Area North of the Platte River,8,8
CO,18,CO-BCR18-PC,2022,BCR,2458,CO-BCR18-PC: Pawnee National Grassland - Private Lands,2,2
CO,18,CO-BCR18-PG,2022,BCR,810,CO-BCR18-PG: Pawnee National Grassland - Public Lands,8,8
CO,18,CO-BCR18-PI,2022,BCR,30365,CO-BCR18-PI: Area between the Platte River and I-70,15,11
CO,18,CO-BCR18-PT,2022,BCR,970,CO-BCR18-PT: Platte River and Tributaries,5,5
CO,18,CO-BCR18-SA,2022,BCR,24985,CO-BCR18-SA: Area South of the Arkansas River,12,11
ID,9,ID-BCR9-BO,2022,IBO,1710,ID-BCR9-BO: Boise National Forest,2,3
ID,9,ID-BCR9-BR,2022,IBO,5953,ID-BCR9-BR: Bureau of Land Management - Bruneau Field Office,0,3
ID,9,ID-BCR9-BU,2022,IBO,3334,ID-BCR9-BU: Bureau of Land Management - Burley Field Office,3,3
ID,9,ID-BCR9-CT,2022,BCR,1940,ID-BCR9-CT: Caribou-Targhee National Forest,2,2
