Species,SpeciesCode,Agency,Region,Designation
Pygmy Nuthatch,PYNU,Partners In Flight,PIF BCR 16,Regional Stewardship Species
Virginia's Warbler,VIWA,Partners In Flight,PIF BCR 16,Regional Stewardship Species
Western Bluebird,WEBL,Partners In Flight,PIF BCR 16,Regional Stewardship Species
Williamson's Sapsucker,WISA,Partners In Flight,PIF BCR 16,Regional Stewardship Species
Woodhouse's Scrub-Jay,WOSJ,Partners In Flight,PIF BCR 16,Regional Stewardship Species
American Dipper,AMDI,Partners In Flight,PIF BCR 17,Regional Concern Species
American Wigeon,AMWI,Partners In Flight,PIF BCR 17,Regional Concern Species
Baird's Sparrow,BAIS,Partners In Flight,PIF BCR 17,Regional Concern Species
Black-billed Cuckoo,BBCU,Partners In Flight,PIF BCR 17,Regional Concern Species
Black-billed Magpie,BBMA,Partners In Flight,PIF BCR 17,Regional Concern Species
Brewer's Sparrow,BRSP,Partners In Flight,PIF BCR 17,Regional Concern Species
Burrowing Owl,BUOW,Partners In Flight,PIF BCR 17,Regional Concern Species
Chestnut-collared Longspur,CCLO,Partners In Flight,PIF BCR 17,Regional Concern Species
Ferruginous Hawk,FEHA,Partners In Flight,PIF BCR 17,Regional Concern Species
Franklin's Gull,FRGU,Partners In Flight,PIF BCR 17,Regional Concern Species
Golden Eagle,GOEA,Partners In Flight,PIF BCR 17,Regional Concern Species
Grasshopper Sparrow,GRSP,Partners In Flight,PIF BCR 17,Regional Concern Species
Greater Prairie-Chicken,GRPC,Partners In Flight,PIF BCR 17,Regional Concern Species
Greater Sage-Grouse,GRSG,Partners In Flight,PIF BCR 17,Regional Concern Species
Lark Bunting,LARB,Partners In Flight,PIF BCR 17,Regional Concern Species
Least Tern,LETE,Partners In Flight,PIF BCR 17,Regional Concern Species
Lewis's Woodpecker,LEWO,Partners In Flight,PIF BCR 17,Regional Concern Species
Loggerhead Shrike,LOSH,Partners In Flight,PIF BCR 17,Regional Concern Species
Long-billed Curlew,LBCU,Partners In Flight,PIF BCR 17,Regional Concern Species
Marbled Godwit,MAGO,Partners In Flight,PIF BCR 17,Regional Concern Species
Thick-billed Longspur,TBLO,Partners In Flight,PIF BCR 17,Regional Concern Species
Mountain Plover,MOPL,Partners In Flight,PIF BCR 17,Regional Concern Species
Northern Goshawk,NOGO,Partners In Flight,PIF BCR 17,Regional Concern Species
Northern Harrier,NOHA,Partners In Flight,PIF BCR 17,Regional Concern Species
Northern Pintail,NOPI,Partners In Flight,PIF BCR 17,Regional Concern Species
Pinyon Jay,PIJA,Partners In Flight,PIF BCR 17,Regional Concern Species
Piping Plover,PIPL,Partners In Flight,PIF BCR 17,Regional Concern Species
Prairie Falcon,PRFA,Partners In Flight,PIF BCR 17,Regional Concern Species
Red-headed Woodpecker,RHWO,Partners In Flight,PIF BCR 17,Regional Concern Species
Sprague's Pipit,SPPI,Partners In Flight,PIF BCR 17,Regional Concern Species
